User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.32,0.06,0:00.22,173%,16634
0.34,0.05,0:00.22,176%,16634
0.35,0.12,0:00.29,159%,16634
0.38,0.04,0:00.31,138%,16634
0.31,0.03,0:00.19,183%,16634
0.34,0.05,0:00.23,167%,16634
0.35,0.03,0:00.19,196%,16634
0.32,0.04,0:00.20,185%,16634
0.37,0.02,0:00.21,191%,16634
0.31,0.04,0:00.18,193%,16634
0.35,0.06,0:00.21,191%,16634
0.35,0.04,0:00.19,197%,16634
0.30,0.06,0:00.21,168%,16634
0.36,0.02,0:00.20,194%,16634
0.32,0.03,0:00.18,193%,16634
0.39,0.03,0:00.22,189%,16634
0.38,0.04,0:00.21,203%,16634
0.31,0.04,0:00.18,192%,16634
0.36,0.04,0:00.21,190%,16634
0.36,0.02,0:00.20,190%,16634
0.31,0.04,0:00.18,197%,16634
0.36,0.04,0:00.21,189%,16634
0.31,0.03,0:00.18,193%,16634
0.32,0.04,0:00.22,165%,16634
0.31,0.04,0:00.18,191%,16634
0.36,0.04,0:00.24,166%,16634
0.33,0.05,0:00.20,191%,16634
0.33,0.03,0:00.19,191%,16634
0.34,0.06,0:00.21,190%,16634
0.34,0.03,0:00.19,195%,16634
0.33,0.06,0:00.22,180%,16634
0.38,0.03,0:00.21,193%,16634
0.33,0.04,0:00.20,188%,16634
0.31,0.06,0:00.19,188%,16634
0.38,0.05,0:00.28,154%,16634
0.37,0.05,0:00.22,192%,16634
0.31,0.05,0:00.18,201%,16634
0.33,0.03,0:00.20,183%,16634
0.36,0.02,0:00.19,202%,16634
0.36,0.05,0:00.22,186%,16634
0.35,0.03,0:00.19,198%,16634
0.33,0.03,0:00.19,186%,16634
0.39,0.03,0:00.22,193%,16634
0.38,0.03,0:00.22,185%,16634
0.32,0.03,0:00.19,185%,16634
0.34,0.04,0:00.20,189%,16634
0.28,0.04,0:00.18,186%,16634
0.38,0.03,0:00.22,188%,16634
0.37,0.04,0:00.20,199%,16634
0.35,0.02,0:00.19,189%,16634
